"filename", "language", "Dart", "Markdown", "YAML", "Groovy", "XML", "Properties", "JSON", "Java", "HTML", "C++", "Swift", "Ini", "comment", "blank", "total"
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\build.gradle", "Groovy", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 64
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 16, 1, 49
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 2, 13
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\build.gradle", "Groovy", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\settings.gradle", "Groovy", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\settings_aar.gradle", "Groovy", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\build.gradle", "Groovy", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 47
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\Managed\etc\mono\2.0\DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1594, 0, 0, 0, 28, 280, 1902
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\Managed\etc\mono\4.0\DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1594, 0, 0, 0, 28, 280, 1902
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\Managed\etc\mono\4.5\DefaultWsdlHelpGenerator.aspx", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1594, 0, 0, 0, 28, 280, 1902
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\Managed\etc\mono\browscap.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13255, 274, 3451, 16980
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\Managed\etc\mono\mconfig\config.xml", "XML", 0, 0, 0, 0, 525, 0, 0, 0, 0, 0, 0, 0, 30, 62, 617
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\assets\bin\Data\UnitySubsystems\UnityARCore\UnitySubsystemsManifest.json", "JSON", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\java\com\unity3d\player\UnityPlayerActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 25, 19, 133
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\mipmap-anydpi-v26\app_icon.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\mipmap-anydpi-v26\app_icon_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values-v21\styles.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values-v28\styles.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values\ids.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\android\unityExport\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\backend\check_connection.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 24
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\backend\scanningApi.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\loading_screen.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\navigation.dart", "Dart", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\common\theme.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\king_card_widget.dart", "Dart", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 125
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\main.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 51
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\app_bar.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 33
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\cameraBuilder.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 112
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\drawer.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 125
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\home_route.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 8, 51
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\language_dialog.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\home\language_tile.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\models\offline\king_card_widget.dart", "Dart", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 134
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\AR_screen.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\home_screen.dart", "Dart", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 118
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\king_screen.dart", "Dart", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 126
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\offline_screen.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 80
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\recognized_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 108
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\scanning_screen.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 89
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\splash_screen.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 81
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\lib\screens\unrecognized_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 108
"d:\GPStuff\AllModules\Flutter UI (Frontend)\Egypt-Gate-Frontend\pubspec.yaml", "YAML", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 129
"Total", "-", 1297, 13, 67, 122, 703, 9, 154, 89, 4782, 1, 12, 13255, 655, 4596, 25755